anchor_hs4,anchor_product_name_short,anchor_sector,anchor_hs_section_name,anchor_density,anchor_density_percentile,anchor_embeddedness,candidate_hs4,candidate_product_name_short,candidate_sector,candidate_hs_section_name,proximity,proximity_above_country_median,proximity_rank,eligible_candidate_count,pci,cog,distance_travelled,accessible_market_size,accessible_market_size_share,accessible_market_growth_5y,dai_index,dai_percentile,dai_lead,alignment_weighted_percentile,pci_norm,cog_norm,accessible_market_size_norm,accessible_market_growth_norm,nai_norm,attractiveness_score,feasibility_score,combined_score
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,6107,"Men's undergarments, knit",Textiles,11. Textiles and textile articles,0.41295650303336034,1,9,1065,-1.0479307438799927,0.126120341690119,7293.180520650118,236334700.0,0.00016579840370421848,0.010493301777469322,0.8555722655463718,12.903225806451612,-22.580645161290324,12.903225806451612,0.49385781489055697,0.2976315063007507,0.0009859691020919826,0.3146824951629722,0.09999999999999998,0.3243715320567173,0.09999999999999998,0.2570600724397021
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,6115,"Socks, stockings, etc., knit",Textiles,11. Textiles and textile articles,0.41210157498414923,1,10,1065,-0.18375906879365705,0.26106749526631673,5717.6951155252855,417436515.0,0.00029284869227774025,0.09761683078011174,0.9649037600152683,29.03225806451613,-25.80645161290322,29.03225806451613,0.5735478616091804,0.4221221132156735,0.0017415111106196272,0.35686625330857896,0.26666666666666666,0.40227565585157865,0.26666666666666666,0.36159295909610506
0711,"Vegetables, provisionally preserved",Agriculture,2. Vegetable products,0.1978770668478445,53.94736842105263,55.54067608753538,6104,"Women's suits, knit",Textiles,11. Textiles and textile articles,0.4107443555162801,1,11,1065,-1.0150072428847783,0.11069315640231199,7019.288790935012,588741778.0,0.00041302630120072667,0.09068585082623426,0.7550838344125527,6.451612903225806,-41.935483870967744,6.451612903225806,0.4968938728962618,0.28339971549544385,0.0024561827028307622,0.35351038853320293,0.033333333333333326,0.326497741622502,0.033333333333333326,0.2385484191357514
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,1207,Other oil seeds,Agriculture,2. Vegetable products,0.45189942285868206,1,1,1065,-5.179657069141335,-0.0083886596557211,6277.462999120389,143080371.0,0.0001003766992879478,0.14696457892968495,1.0032404260757406,54.83870967741935,3.225806451612904,54.83870967741935,0.1128484930382199,0.17354510085012587,0.00059691964371655,0.3807596090622098,0.5333333333333332,0.15744123716680997,0.5333333333333332,0.2702088660167669
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,0708,Legumes,Agriculture,2. Vegetable products,0.42031510271502254,1,2,1065,-3.479223583323188,-0.048869362500723074,2792.11884358736,684122.0,4.799394060158637e-07,-0.0199107769456196,0.523088394464111,12.903225806451612,-70.96774193548387,12.903225806451612,0.2696548636164061,0.13620109520074838,2.854101213496669e-06,0.2999613478658296,0.09999999999999998,0.18704421588106052,0.09999999999999998,0.16093095111674235
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,4101,Raw hides of bovines or equines,Agriculture,"8. Raw hides and skins, leather, furskins and articles thereof",0.4196949578681882,1,3,1065,-2.6839926562093694,0.0039639327848624145,4066.4860507155186,60607.0,4.2518275366679414e-08,-0.274048946024243,0.5271443401213451,16.129032258064516,-54.83870967741936,16.129032258064516,0.3429875029064676,0.18494053742769417,2.5284746323958687e-07,0.17691188943933708,0.1333333333333333,0.21131163545997667,0.1333333333333333,0.18791814482198363
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,1703,Molasses,Agriculture,"4. Prepared foodstuffs; beverages, spirits and tobacco",0.41156229639168435,1,4,1065,-2.138165062926581,0.00282567239546942,4289.775828470995,11862365.0,8.321931485967958e-06,0.10081775214775335,0.7431385137355827,16.129032258064516,-38.70967741935483,16.129032258064516,0.3933212822503389,0.1838904765486943,4.948881974478298e-05,0.35841608599283126,0.1333333333333333,0.255793951801548,0.1333333333333333,0.21905576626108358
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,1404,Vegetable products n.e.c.,Agriculture,2. Vegetable products,0.4047798928846816,1,5,1065,-2.8479106802548557,-0.0025888373232695206,5660.783847333838,66456542.0,4.662196697862121e-05,0.3051324668178983,0.9803935035239804,64.51612903225806,6.451612903225801,64.51612903225806,0.3278717158808119,0.17889551679467508,0.0002772512756014167,0.45734185963743007,0.6333333333333333,0.24601139807337513,0.6333333333333333,0.36220797865136256
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,0910,Spices,Agriculture,2. Vegetable products,0.3965645288679663,1,6,1065,-2.517802589486876,-3.3678450423499834e-05,4868.147605236873,27148494.0,1.9045772661287373e-05,0.09060098119626359,0.8686165177827612,16.129032258064516,-45.16129032258064,16.129032258064516,0.3583128075456917,0.18125268603029768,0.00011326130378793117,0.35346929607533795,0.1333333333333333,0.24188530635846517,0.1333333333333333,0.2093197144509256
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,1102,Cereal flours,Agriculture,2. Vegetable products,0.3963161802753181,1,7,1065,-1.9432107424888434,0.05787950957856266,3104.479621170969,24621950.0,1.7273299291577082e-05,0.11152845554091395,1.310772979187565,67.74193548387096,9.677419354838698,67.74193548387096,0.41129909771406453,0.23467839924503114,0.0001027207681870402,0.3636020297519817,0.6666666666666666,0.2806478365137087,0.6666666666666666,0.3964534855595961
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,0102,Bovine,Agriculture,1. Live animals; animal products,0.3900934225185572,1,8,1065,-1.8721905890311101,0.1673800717057985,3185.4166205729575,2410793.0,1.6912693356553395e-06,-0.004298670155194362,0.7385398157420425,12.903225806451612,-61.29032258064515,12.903225806451612,0.41784825861597114,0.3356941752395032,1.0057631865061022e-05,0.30752046931705906,0.09999999999999998,0.3098694308917546,0.09999999999999998,0.24690860162422823
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,1106,Flour of dried legumes,Agriculture,2. Vegetable products,0.3804868147640913,1,9,1065,-2.658660698607271,0.002078127128732222,4690.252667568483,15137571.0,1.0619621696514605e-05,0.013628349606638723,0.9366371304919519,45.16129032258064,-45.16129032258064,45.16129032258064,0.3453235027349551,0.1832008557490978,6.3152712177787e-05,0.316200432979708,0.43333333333333324,0.2324230633232014,0.43333333333333324,0.2926961443262409
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,1211,"Plants used in perfumery, pharmacy or insecticide",Agriculture,2. Vegetable products,0.37980045783804034,1,10,1065,-2.9773737947343117,-0.0002935463540088177,5090.524335164819,63844266.0,4.478934912421879e-05,0.055912798736486025,0.8164486682946729,6.451612903225806,-38.70967741935483,6.451612903225806,0.3159332065097709,0.18101295431178627,0.00026635307308550834,0.3366738572754524,0.033333333333333326,0.2244721878398257,0.033333333333333326,0.167130531487878
0713,"Legumes, dried",Agriculture,2. Vegetable products,0.21766566258874545,96.05263157894737,48.52079480539062,1212,Seaweeds & edible vegetable products,Agriculture,2. Vegetable products,0.3785504580019408,1,11,1065,-3.0534199423780937,9.986528345065106e-05,4699.4838592942,14847296.0,1.0415981978626195e-05,0.29621396867299854,0.8817347052242728,29.03225806451613,-54.83870967741936,29.03225806451613,0.30892057090365843,0.18137588196321738,6.194170854137747e-05,0.4530236717371778,0.26666666666666666,0.2395666005202644,0.26666666666666666,0.24769662036418505
0805,Citrus fruit,Agriculture,2. Vegetable products,0.2060937295630243,78.28947368421053,52.66642805827241,0810,Other fresh fruit,Agriculture,2. Vegetable products,0.43258503668366377,1,1,1065,-1.8575580436755599,0.006553499596134498,4099.922451280301,129041757.0,9.052804062115153e-05,0.14275631962904867,0.6979782016868505,9.67741935483871,-80.64516129032258,9.67741935483871,0.4191976065020606,0.18732944846018937,0.0005383516905543782,0.3787220401691194,0.06666666666666667,0.2691735280157386,0.06666666666666667,0.20842146961101699
