candidate_hs4,candidate_product_name_short,anchor_count,anchors
4110,Waste of leather,7,0510 - Animal products used in pharmaceuticals; 0814 - Peel of citrus fruit or melons; 2607 - Lead ore; 2836 - Carbonates; 3201 - Vegetable tanning extracts; 4206 - Articles of gut; 7106 - Silver
4418,Wood carpentry for construction,7,"1108 - Starches; 1518 - Animal or vegetable fats and oils, processed; 1602 - Other prepared or preserved meat; 2306 - Solid vegetable oil and fat residues; 2308 - Vegetable materials for animal feeding; 4409 - Wood shaped along its edges; 4411 - Fiberboard of wood"
4818,Toilet paper,7,"1103 - Cereal meals; 1517 - Margarine; 1704 - Confectionery sugar; 2007 - Jams, jellies and marmalades; 2309 - Animal feed; 2522 - Quicklime; 3307 - Toiletries"
5905,Textile wall coverings,7,"0101 - Horses; 1505 - Wool grease; 2004 - Other vegetables, frozen; 3502 - Albumins; 3806 - Rosin and resin acids; 3815 - Catalytic preparations; 5105 - Wool, combed"
6105,"Men's shirts, knit",7,0306 - Crustaceans; 0307 - Molluscs; 0814 - Peel of citrus fruit or melons; 1301 - Lac; 1401 - Vegetable materials used for plaiting; 2401 - Unmanufactured tobacco; 3301 - Essential oils
6305,Bags for packing goods,7,"1101 - Wheat or meslin flour; 1701 - Sugarcane & sucrose; 2008 - Fruits and nuts, otherwise prepared; 2009 - Fruit juices; 2302 - Cereal residues; 2401 - Unmanufactured tobacco; 4104 - Tanned hides of bovines or equines"
6904,Ceramic building bricks,7,"0504 - Animal guts, except fish; 1208 - Flours of oil seeds; 1507 - Soybean oil; 1512 - Sunflower seed oil; 2306 - Solid vegetable oil and fat residues; 2308 - Vegetable materials for animal feeding; 6809 - Plaster articles"
7325,Other cast articles of iron or steel,7,"0808 - Apples & pears; 1108 - Starches; 1512 - Sunflower seed oil; 2508 - Clays; 2518 - Dolomite; 2836 - Carbonates; 7312 - Wire of iron or steel, not insulated"
8434,Dairy machinery,7,"0206 - Edible offal; 0207 - Poultry; 0404 - Whey; 0405 - Butter; 0406 - Cheese; 2204 - Wine; 2827 - Chlorides, bromides, iodides etc."
8701,Tractors,7,2832 - Sulfites; 2923 - Quaternary ammonium salts and hydroxides; 3507 - Enzymes; 3805 - Turpentines; 3806 - Rosin and resin acids; 8408 - Compression-ignition internal combustion piston engines; 8704 - Motor vehicles for transporting goods
0102,Bovine,6,"0201 - Beef; 0409 - Honey; 0713 - Legumes, dried; 1008 - Other cereals; 1104 - Worked cereal grains; 4403 - Wood in the rough"
0302,"Fish, excluding fillets",6,"0303 - Frozen fish, excluding fillets; 0304 - Fish fillets; 0306 - Crustaceans; 0307 - Molluscs; 0511 - Animal products n.e.c.; 2301 - Flours of fish, for animal feed"
0712,"Vegetables, dried",6,"0409 - Honey; 0703 - Onions, shallots, garlic; 0711 - Vegetables, provisionally preserved; 0813 - Fruits, dried; 0909 - Anise, fennel, etc.; 1008 - Other cereals"
0801,Cashew nuts & coconuts,6,1006 - Rice; 1201 - Soya beans; 1202 - Peanuts; 1521 - Vegetable waxes and beeswax; 2305 - Solid peanut residues; 5201 - Raw cotton
1106,Flour of dried legumes,6,"0713 - Legumes, dried; 1101 - Wheat or meslin flour; 1515 - Other vegetable fats and oils; 2008 - Fruits and nuts, otherwise prepared; 2009 - Fruit juices; 7108 - Gold"
2002,"Tomatoes, prepared or preserved",6,0806 - Grapes; 0808 - Apples & pears; 0809 - Peaches & cherries; 1509 - Olive oil; 2836 - Carbonates; 3103 - Phosphatic fertilizers
2206,Other fermented beverages,6,"0405 - Butter; 0406 - Cheese; 2204 - Wine; 2205 - Wine, flavored; 2512 - Siliceous fossil meals and earths; 3823 - Industrial monocarboxylic fatty acids"
2501,Salt,6,"0304 - Fish fillets; 0307 - Molluscs; 0805 - Citrus fruit; 1103 - Cereal meals; 2301 - Flours of fish, for animal feed; 3101 - Animal or vegetable fertilizers"
2918,Carboxylic acids with additional oxygen function,6,"1502 - Bovine, sheep and goat fats; 1505 - Wool grease; 3001 - Heparin for therapeutic use; 3202 - Synthetic tanning substances; 3812 - Stabilizers for rubber or plastic; 3913 - Natural polymers"
2940,"Other sugars, chemically pure",6,2937 - Hormones; 3502 - Albumins; 3507 - Enzymes; 3815 - Catalytic preparations; 3913 - Natural polymers; 5803 - Gauze
3305,Hair products,6,"0805 - Citrus fruit; 2102 - Yeasts; 3101 - Animal or vegetable fertilizers; 3307 - Toiletries; 3808 - Insecticides, rodenticides, fungicides, etc.; 6809 - Plaster articles"
3821,Prepared culture media for micro-organisms,6,"2004 - Other vegetables, frozen; 3001 - Heparin for therapeutic use; 3502 - Albumins; 3507 - Enzymes; 3815 - Catalytic preparations; 3913 - Natural polymers"
4006,Unvulcanized rubber rods,6,0408 - Egg yolks; 2512 - Siliceous fossil meals and earths; 2832 - Sulfites; 2923 - Quaternary ammonium salts and hydroxides; 3805 - Turpentines; 8704 - Motor vehicles for transporting goods
4902,"Newspapers, journals and periodicals",6,0404 - Whey; 0408 - Egg yolks; 1001 - Wheat and meslin; 1003 - Barley; 1107 - Malt; 2204 - Wine
5107,"Yarn of combed wool, not for retail sale",6,"0205 - Horse meat; 0505 - Feathers and down; 1505 - Wool grease; 4303 - Furskin apparel; 5103 - Wool or animal hair waste; 5105 - Wool, combed"
5703,"Carpets, tufted",6,2509 - Chalk; 3211 - Prepared driers; 3503 - Gelatin; 3805 - Turpentines; 3806 - Rosin and resin acids; 5103 - Wool or animal hair waste
6106,"Women's shirts, knit",6,"1701 - Sugarcane & sucrose; 2005 - Other vegetables, prepared or preserved; 2008 - Fruits and nuts, otherwise prepared; 2401 - Unmanufactured tobacco; 3301 - Essential oils; 4402 - Wood charcoal"
7228,Other bars and rods of other alloy steel,6,"0207 - Poultry; 2827 - Chlorides, bromides, iodides etc.; 2832 - Sulfites; 2836 - Carbonates; 7224 - Other alloy steel in primary form; 7304 - Tubes, seamless, of iron or steel"
7610,"Aluminum structures (bridges, towers etc)",6,"1518 - Animal or vegetable fats and oils, processed; 1602 - Other prepared or preserved meat; 2714 - Bitumen and asphalt, natural; 3307 - Toiletries; 4411 - Fiberboard of wood; 6809 - Plaster articles"
8309,"Stoppers, caps and lids of metal",6,"0402 - Milk, concentrated; 1507 - Soybean oil; 2102 - Yeasts; 2308 - Vegetable materials for animal feeding; 2512 - Siliceous fossil meals and earths; 3808 - Insecticides, rodenticides, fungicides, etc."
8607,Parts of railway locomotives,6,"1001 - Wheat and meslin; 1003 - Barley; 1206 - Sunflower seeds; 2303 - Starch residues; 7224 - Other alloy steel in primary form; 7304 - Tubes, seamless, of iron or steel"
8706,Vehicle chassis fitted with engines,6,"0205 - Horse meat; 1502 - Bovine, sheep and goat fats; 1520 - Glycerol; 3202 - Synthetic tanning substances; 3503 - Gelatin; 3805 - Turpentines"
9302,Revolvers and pistols,6,0903 - Mate; 1201 - Soya beans; 2307 - Wine lees; 2528 - Natural borates; 2830 - Sulfides; polysulfides; 2840 - Borates
0208,Other meat,5,0201 - Beef; 0206 - Edible offal; 0404 - Whey; 2204 - Wine; 2509 - Chalk
