iso3_d,hs92,potential_market_size_2020,potential_market_size_2024,potential_market_growth_5y
AFG,3506,49223208.0,6110706.0,-0.3411534213796925
AFG,3507,4316200.0,255417.0,-0.431893644490398
AFG,3602,0.0,0.0,0.0
AFG,3603,0.0,24203.0,0.0
AFG,3604,0.0,51459.0,0.0
AFG,3605,14371290.0,12118452.0,-0.03352576945297392
AFG,3606,33543.0,0.0,0.0
AFG,3701,3150186.0,5208176.0,0.1057829542633617
AFG,3702,97949.0,0.0,0.0
AFG,3703,122583.0,19322.0,-0.30892629848796704
AFG,3707,915644.0,1260.0,-0.7322504323413914
AFG,3801,25158.0,15490.0,-0.0924405965130195
AFG,3802,94233.0,277515.0,0.24112832999623635
AFG,3804,0.0,0.0,0.0
AFG,3805,5887.0,0.0,0.0
AFG,3806,16895.0,0.0,0.0
AFG,3808,327052008.0,50510152.0,-0.3117402520459015
AFG,3809,252434.0,55964.0,-0.26013551675743063
AFG,3810,200955.0,11684.0,-0.43389297218423184
AFG,3811,13538259.0,35182.0,-0.6959454258959401
AFG,3812,11149865.0,5962158.0,-0.11767867814414645
AFG,3813,93104.0,0.0,0.0
AFG,3814,17196895.0,1149342.0,-0.4178969865812181
AFG,3815,1168812.0,130970.0,-0.3545160720406003
AFG,3816,233685.0,0.0,0.0
AFG,3819,1873512.0,693328.0,-0.18029713678807868
AFG,3820,3922080.0,26999.0,-0.6305410035824071
AFG,3821,2810675.0,794070.0,-0.22337810267943126
AFG,3822,434693558.0,99469290.0,-0.2554374937528402
AFG,3823,12835790.0,24780156.0,0.14060766713948092
AFG,3901,138599796.0,18051396.0,-0.3348039824164796
AFG,3902,10701468.0,606831.0,-0.4367192879688325
AFG,3903,3286468.0,822576.0,-0.24196488325519738
AFG,3904,35894232.0,7541786.0,-0.2680356863203385
AFG,3905,1466828.0,575265.0,-0.17072656758800875
AFG,3906,9237915.0,2299098.0,-0.24282423614600057
AFG,3907,75621964.0,53204781.0,-0.06790422049911893
AFG,3908,169252.0,199798.0,0.033740342920894006
