iso3_o,iso3_d,dist
AIA,STP,7871.0
AIA,SUR,1613.0
AIA,SVK,7799.0
AIA,SVN,7623.0
AIA,SWE,7780.0
AIA,SWZ,11297.0
AIA,SXM,21.0
AIA,SYC,13188.0
AIA,SYR,9744.0
AIA,TCA,920.0
AIA,TCD,8362.0
AIA,TGO,7088.0
AIA,THA,16045.0
AIA,TJK,11972.0
AIA,TKL,12251.0
AIA,TKM,11298.0
AIA,TLS,18599.0
AIA,TON,12965.0
AIA,TTO,852.0
AIA,TUN,7349.0
AIA,TUR,8867.0
AIA,TUV,13235.0
AIA,TWN,15197.0
AIA,TZA,11551.0
AIA,UGA,10603.0
AIA,UKR,8715.0
AIA,URY,5916.0
AIA,USA,2705.0
AIA,UZB,11795.0
AIA,VAT,7495.0
AIA,VCT,593.0
AIA,VEN,949.0
AIA,VGB,166.0
AIA,VNM,16611.0
AIA,VUT,14610.0
AIA,WLF,12882.0
AIA,WSM,12435.0
AIA,YEM,11235.0
AIA,ZAF,10995.0
AIA,ZMB,10678.0
AIA,ZWE,11039.0
ALB,ABW,9090.0
ALB,AFG,4345.0
ALB,AGO,5595.0
ALB,AIA,8112.0
ALB,AND,1521.0
ALB,ARE,3718.0
ALB,ARG,11592.0
ALB,ARM,2082.0
ALB,ASM,16840.0
ALB,ATG,8088.0
ALB,AUS,15371.0
ALB,AUT,811.0
ALB,AZE,2525.0
ALB,BDI,5045.0
ALB,BEL,1591.0
ALB,BEN,4234.0
ALB,BES,8971.0
ALB,BFA,3824.0
ALB,BGD,6727.0
ALB,BGR,328.0
ALB,BHR,3280.0
ALB,BHS,8774.0
ALB,BIH,305.0
ALB,BLR,1512.0
ALB,BLZ,10232.0
ALB,BMU,7314.0
ALB,BOL,11039.0
ALB,BRA,9920.0
ALB,BRB,8183.0
ALB,BRN,10079.0
ALB,BTN,6428.0
ALB,BWA,7332.0
ALB,CAF,4097.0
ALB,CAN,7619.0
ALB,CCK,9838.0
ALB,CHE,1122.0
ALB,CHL,12403.0
ALB,CHN,8660.0
ALB,CIV,4638.0
ALB,CMR,4232.0
ALB,COD,5076.0
ALB,COG,5070.0
ALB,COK,17775.0
ALB,COL,10001.0
ALB,COM,6345.0
ALB,CPV,5087.0
ALB,CRI,10426.0
ALB,CUB,9300.0
ALB,CUW,9029.0
ALB,CXR,10426.0
ALB,CYM,9509.0
ALB,CYP,1367.0
ALB,CZE,1060.0
ALB,DEU,1336.0
ALB,DJI,4005.0
ALB,DMA,8176.0
ALB,DNK,1681.0
ALB,DOM,8654.0
ALB,DZA,1536.0
ALB,ECU,10982.0
ALB,EGY,1621.0
ALB,ERI,3419.0
ALB,ESH,3395.0
ALB,ESP,1979.0
ALB,EST,2043.0
ALB,ETH,4035.0
ALB,FIN,2125.0
ALB,FJI,16734.0
ALB,FLK,12738.0
ALB,FRA,1604.0
ALB,FRO,2903.0
ALB,FSM,13192.0
ALB,GAB,4652.0
ALB,GBR,1895.0
ALB,GEO,2081.0
ALB,GHA,4386.0
ALB,GIB,2254.0
ALB,GIN,4812.0
ALB,GLP,8156.0
ALB,GMB,4691.0
ALB,GNB,4747.0
ALB,GNQ,4486.0
ALB,GRC,504.0
ALB,GRD,8435.0
ALB,GRL,5098.0
ALB,GTM,10571.0
ALB,GUF,8162.0
ALB,GUM,11727.0
ALB,GUY,8510.0
ALB,HKG,8757.0
ALB,HND,10357.0
ALB,HRV,587.0
