iso3_d,hs92,potential_market_imports_sum
ARG,2811,3700328651.0
ARG,2812,288553979.0
ARG,2813,137608495.0
ARG,2814,5020389385.0
ARG,2815,2313712394.0
ARG,2816,195292627.0
ARG,2817,693219736.0
ARG,2818,9065702800.0
ARG,2819,360837168.0
ARG,2820,214759789.0
ARG,2821,610418757.0
ARG,2822,469061126.0
ARG,2823,457087827.0
ARG,2824,43560951.0
ARG,2825,3083276696.0
ARG,2826,848204822.0
ARG,2827,2145531278.0
ARG,2828,346127306.0
ARG,2829,396453101.0
ARG,2830,406828351.0
ARG,2831,132414834.0
ARG,2832,329620420.0
ARG,2833,2891325528.0
ARG,2834,651058760.0
ARG,2835,2001574627.0
ARG,2836,6154974517.0
ARG,2837,718897652.0
ARG,2839,492627338.0
ARG,2840,627523500.0
ARG,2841,3171902871.0
ARG,2842,1139118989.0
ARG,2843,3635276282.0
ARG,2844,15862304209.0
ARG,2845,2057693098.0
ARG,2846,750263073.0
ARG,2847,344046062.0
ARG,2849,1366075295.0
ARG,2850,242507797.0
ARG,2851,423277671.0
ARG,2901,12737232422.0
ARG,2902,16469909426.0
ARG,2903,6218576002.0
ARG,2904,965260801.0
ARG,2905,16422213116.0
ARG,2906,1286538230.0
ARG,2907,3137656975.0
ARG,2908,219066500.0
ARG,2909,8529716130.0
ARG,2910,2193488280.0
ARG,2911,53970452.0
ARG,2912,1391960229.0
ARG,2913,32470703.0
ARG,2914,4238359757.0
ARG,2915,9499608065.0
ARG,2916,5706555914.0
ARG,2917,9880834838.0
ARG,2918,5172585508.0
ARG,2919,573672586.0
ARG,2920,1067579753.0
ARG,2921,6680875220.0
ARG,2922,9744963253.0
ARG,2923,1713852263.0
ARG,2924,4631331859.0
ARG,2925,1238080803.0
ARG,2926,2255221860.0
ARG,2927,278899888.0
ARG,2928,547229011.0
ARG,2929,2967704278.0
ARG,2930,4305264639.0
ARG,2931,2492529306.0
ARG,2932,6685156447.0
ARG,2933,31485474214.0
ARG,2934,11336423704.0
ARG,2935,3052228764.0
ARG,2936,4988170513.0
ARG,2937,18448550461.0
ARG,2938,991914741.0
ARG,2939,1261924570.0
ARG,2940,928143195.0
ARG,2941,6406593692.0
ARG,2942,546640508.0
ARG,3001,2143333388.0
ARG,3002,176729101758.0
ARG,3003,9935517664.0
ARG,3004,272981106896.0
ARG,3005,4936449416.0
ARG,3006,9986713261.0
ARG,3101,730575756.0
ARG,3102,13757374468.0
ARG,3103,1678822394.0
ARG,3104,10131271155.0
ARG,3105,14800289737.0
ARG,3201,184601428.0
ARG,3202,277425541.0
ARG,3203,916816865.0
ARG,3204,7091879419.0
ARG,3205,143002054.0
ARG,3206,7776651816.0
ARG,3207,2495580676.0
ARG,3208,10101632811.0
ARG,3209,3566402872.0
ARG,3210,528494364.0
ARG,3211,129478883.0
ARG,3212,1340892821.0
ARG,3213,426637809.0
ARG,3214,5534710268.0
ARG,3215,8491611564.0
ARG,3301,3893147446.0
ARG,3302,17497617588.0
ARG,3303,13581964247.0
ARG,3304,40771585077.0
ARG,3305,9018479963.0
ARG,3306,3312210147.0
ARG,3307,7521197860.0
ARG,3401,3550280641.0
ARG,3402,22273125842.0
ARG,3403,6611740537.0
ARG,3404,2531950118.0
ARG,3405,1452869450.0
ARG,3406,1523753631.0
ARG,3407,529080791.0
ARG,3501,1748283051.0
ARG,3502,2157189789.0
ARG,3503,1037905772.0
ARG,3504,2723930184.0
ARG,3505,3195541859.0
ARG,3506,8349322143.0
ARG,3507,3246944627.0
ARG,3601,456179963.0
ARG,3602,720189463.0
ARG,3603,1012404565.0
ARG,3604,754740825.0
ARG,3605,84454027.0
ARG,3606,189363452.0
ARG,3701,2530677859.0
ARG,3702,523670344.0
ARG,3703,171495975.0
ARG,3704,22401575.0
ARG,3705,973451749.0
ARG,3706,3235110.0
ARG,3707,2205930492.0
ARG,3801,1914755216.0
ARG,3802,2081281048.0
ARG,3803,313136830.0
ARG,3804,245704014.0
ARG,3805,142443726.0
ARG,3806,953428664.0
ARG,3807,47181179.0
ARG,3808,15832634582.0
ARG,3809,2928225372.0
ARG,3810,1041047640.0
ARG,3811,8256494484.0
ARG,3812,2990752115.0
ARG,3813,185041976.0
ARG,3814,1239945424.0
ARG,3815,14462106479.0
ARG,3816,1453961544.0
ARG,3817,1117860765.0
ARG,3818,4535916591.0
ARG,3819,553014408.0
ARG,3820,662105462.0
ARG,3821,2345453751.0
ARG,3822,22295252.0
ARG,3823,55109399220.0
ARG,3901,46624395921.0
ARG,3902,28665763179.0
ARG,3903,11547037785.0
ARG,3904,10634235039.0
ARG,3905,4088875849.0
ARG,3906,11490461374.0
ARG,3907,36960330045.0
ARG,3908,9301927957.0
ARG,3909,11885982076.0
ARG,3910,5005060240.0
ARG,3911,4646509093.0
ARG,3912,3883430969.0
ARG,3913,2361247793.0
ARG,3914,1588282438.0
ARG,3915,1955035523.0
ARG,3916,3332460779.0
ARG,3917,14197309168.0
ARG,3918,6290177459.0
ARG,3919,14729740639.0
ARG,3920,39460333498.0
ARG,3921,19267059696.0
ARG,3922,2539260373.0
ARG,3923,31294112410.0
ARG,3924,12098295293.0
ARG,3925,4952452069.0
ARG,3926,93064427325.0
ARG,4001,6670320886.0
ARG,4002,11542242722.0
ARG,4003,237828474.0
ARG,4004,217856745.0
ARG,4005,3102895247.0
ARG,4006,199393202.0
ARG,4007,209237781.0
ARG,4008,2198060070.0
ARG,4009,5086650285.0
ARG,4010,2766687555.0
ARG,4011,39955334487.0
ARG,4012,1318298133.0
ARG,4013,464968389.0
ARG,4014,869119731.0
ARG,4015,4396273811.0
ARG,4016,15414203804.0
ARG,4017,141580684.0
ARG,4101,124546125.0
ARG,4102,189226121.0
ARG,4103,414500476.0
ARG,4104,6085185216.0
ARG,4105,448661290.0
ARG,4106,153254689.0
ARG,4107,418051522.0
ARG,4108,67610748.0
ARG,4109,161396777.0
ARG,4110,9650434.0
ARG,4111,118737081.0
ARG,4201,808670887.0
ARG,4202,48840446438.0
ARG,4203,4748892143.0
ARG,4205,1347464772.0
ARG,4206,17286967.0
ARG,4301,333655049.0
ARG,4302,372973043.0
ARG,4303,651341030.0
ARG,4304,55046261.0
ARG,4401,7118906686.0
ARG,4402,1117869298.0
ARG,4403,5172585039.0
ARG,4404,160110783.0
ARG,4405,54308175.0
ARG,4406,221610357.0
ARG,4407,23883760342.0
ARG,4408,2727093529.0
ARG,4409,2060010654.0
ARG,4410,5148430074.0
ARG,4411,5641860779.0
ARG,4412,9766219290.0
ARG,4413,261583010.0
ARG,4414,328919404.0
ARG,4415,2271986436.0
ARG,4416,499510536.0
ARG,4417,121591034.0
ARG,4418,9318158290.0
ARG,4419,1450675403.0
ARG,4420,943339158.0
ARG,4421,4402332097.0
ARG,4501,270768649.0
ARG,4502,19478070.0
ARG,4503,290617313.0
ARG,4504,291294495.0
ARG,4601,272959697.0
ARG,4602,818823910.0
ARG,4701,133323111.0
ARG,4702,3119857705.0
ARG,4703,20306955320.0
ARG,4704,352703949.0
ARG,4705,849646010.0
ARG,4706,800282691.0
ARG,4707,3900561417.0
ARG,4801,3403513750.0
ARG,4802,6188653761.0
ARG,4803,2592619976.0
ARG,4804,7588074966.0
ARG,4805,11451333318.0
ARG,4806,1163041181.0
ARG,4807,411943310.0
ARG,4808,746970103.0
ARG,4809,363859926.0
ARG,4810,12267111197.0
ARG,4811,10703962405.0
ARG,4812,159426149.0
ARG,4813,1310903433.0
ARG,4814,705775549.0
ARG,4816,211626227.0
ARG,4817,583382898.0
ARG,4818,14700415801.0
ARG,4819,13497653911.0
ARG,4820,2043079736.0
ARG,4821,3655222276.0
ARG,4822,236450172.0
ARG,4823,7090326421.0
ARG,4901,5073356174.0
ARG,4902,904449744.0
ARG,4903,1051946114.0
ARG,4904,52533589.0
ARG,4905,73648888.0
ARG,4906,35289217.0
ARG,4907,1187590365.0
ARG,4908,618475126.0
ARG,4909,508066804.0
ARG,4910,181466816.0
ARG,4911,5822300856.0
ARG,5001,2311555.0
ARG,5002,175588016.0
ARG,5003,58129738.0
ARG,5004,177832362.0
ARG,5005,57685083.0
ARG,5006,6581196.0
ARG,5007,393998000.0
ARG,5101,716123699.0
ARG,5102,392936746.0
ARG,5103,25943251.0
ARG,5104,2803831.0
ARG,5105,911037651.0
ARG,5106,340759611.0
ARG,5107,776044444.0
ARG,5108,167361985.0
ARG,5109,165309382.0
ARG,5110,2496806.0
ARG,5111,570683522.0
ARG,5112,1093366124.0
ARG,5113,4230832.0
ARG,5201,6514135265.0
ARG,5202,291138260.0
ARG,5203,95441353.0
ARG,5204,69094491.0
ARG,5205,4526917075.0
ARG,5206,614399256.0
ARG,5207,217965699.0
ARG,5208,4473911570.0
ARG,5209,2654437695.0
ARG,5210,638132107.0
ARG,5211,1368630955.0
ARG,5212,321456363.0
ARG,5301,855172487.0
ARG,5302,79807836.0
ARG,5303,54632841.0
ARG,5305,369516882.0
ARG,5306,320664032.0
ARG,5307,226734369.0
ARG,5308,56815814.0
ARG,5309,1074409887.0
ARG,5310,114852288.0
ARG,5311,79626963.0
ARG,5401,595652321.0
ARG,5402,10649600418.0
ARG,5403,712589396.0
ARG,5404,836980447.0
ARG,5405,18125105.0
ARG,5406,44955992.0
ARG,5407,11815518084.0
ARG,5408,606962731.0
ARG,5501,473217107.0
ARG,5502,1723986587.0
ARG,5503,3644759625.0
ARG,5504,1654182531.0
ARG,5505,135152322.0
ARG,5506,136955341.0
ARG,5507,27175901.0
ARG,5508,244302737.0
ARG,5509,1952525489.0
ARG,5510,621191570.0
ARG,5511,258128139.0
ARG,5512,1908816525.0
ARG,5513,696791168.0
ARG,5514,1118380842.0
ARG,5515,2094803360.0
ARG,5516,2090117145.0
ARG,5601,1655663349.0
ARG,5602,697736876.0
ARG,5603,10043626661.0
ARG,5604,392839691.0
ARG,5605,96266903.0
ARG,5606,340234200.0
ARG,5607,1439317196.0
