iso3_d,hs92,year,potential_market_size
AFG,2920,2024,655604.0
AFG,2921,2020,1802670.0
AFG,2921,2024,736737.0
AFG,2922,2020,9460112.0
AFG,2922,2024,6774330.0
AFG,2923,2020,89750.0
AFG,2923,2024,135204.0
AFG,2924,2020,594612.0
AFG,2924,2024,481824.0
AFG,2925,2020,91797.0
AFG,2925,2024,216042.0
AFG,2926,2020,15258.0
AFG,2927,2020,308845.0
AFG,2927,2024,1161.0
AFG,2928,2020,39347.0
AFG,2929,2020,3198744.0
AFG,2929,2024,11919712.0
AFG,2930,2020,929448.0
AFG,2930,2024,1044170.0
AFG,2931,2020,255742.0
AFG,2931,2024,75622.0
AFG,2932,2020,100136.0
AFG,2932,2024,640143.0
AFG,2933,2020,1530915.0
AFG,2933,2024,1818087.0
AFG,2934,2020,177324.0
AFG,2934,2024,356332.0
AFG,2935,2020,78122.0
AFG,2935,2024,177908.0
AFG,2936,2020,4871622.0
AFG,2936,2024,13148472.0
AFG,2937,2020,85276.0
AFG,2937,2024,92214.0
AFG,2938,2020,5900.0
AFG,2939,2020,1185885.0
AFG,2939,2024,1258008.0
AFG,2940,2024,11298.0
AFG,2941,2020,3783660.0
AFG,2941,2024,8250560.0
AFG,2942,2020,1800522.0
AFG,2942,2024,261651.0
AFG,3001,2020,51288.0
AFG,3001,2024,10171.0
AFG,3002,2020,398525700.0
AFG,3002,2024,367780645.0
AFG,3003,2020,90367760.0
AFG,3003,2024,47534112.0
AFG,3004,2020,2507279544.0
AFG,3004,2024,2632479156.0
AFG,3005,2020,27731652.0
AFG,3005,2024,35522780.0
AFG,3006,2020,126515268.0
AFG,3006,2024,43508608.0
AFG,3101,2020,567540.0
AFG,3101,2024,0.0
AFG,3102,2020,330430464.0
AFG,3102,2024,124074924.0
AFG,3104,2020,517484.0
AFG,3104,2024,163089.0
AFG,3105,2020,293320676.0
AFG,3105,2024,416487995.0
AFG,3201,2020,0.0
AFG,3202,2020,36662.0
AFG,3202,2024,4903.0
AFG,3203,2020,6141180.0
AFG,3203,2024,282294.0
AFG,3204,2020,33092234.0
AFG,3204,2024,5073492.0
AFG,3205,2020,1014.0
AFG,3205,2024,11765.0
AFG,3206,2020,16747254.0
AFG,3206,2024,6916844.0
AFG,3207,2020,397524.0
AFG,3207,2024,118352.0
AFG,3208,2020,71810872.0
AFG,3208,2024,26209310.0
AFG,3209,2020,44972264.0
AFG,3209,2024,9352258.0
AFG,3210,2020,361332.0
AFG,3210,2024,180764.0
AFG,3211,2020,426772.0
AFG,3211,2024,36770.0
AFG,3212,2020,246424.0
AFG,3212,2024,22454.0
AFG,3213,2020,8813060.0
AFG,3213,2024,42572.0
AFG,3214,2020,19685045.0
AFG,3214,2024,3653604.0
AFG,3215,2020,2145860.0
AFG,3215,2024,1289961.0
AFG,3301,2020,2863672.0
AFG,3301,2024,14640.0
AFG,3302,2020,43879590.0
AFG,3302,2024,34623104.0
AFG,3303,2020,30455964.0
AFG,3303,2024,35238120.0
AFG,3304,2020,90487256.0
AFG,3304,2024,50033823.0
AFG,3305,2020,121464984.0
AFG,3305,2024,18103704.0
AFG,3306,2020,13436825.0
AFG,3306,2024,2705884.0
AFG,3307,2020,33421045.0
AFG,3307,2024,3918945.0
AFG,3401,2020,318487050.0
AFG,3401,2024,35864118.0
AFG,3402,2020,163952118.0
AFG,3402,2024,33937232.0
AFG,3403,2020,5784058.0
AFG,3403,2024,416250.0
AFG,3404,2020,154680.0
AFG,3404,2024,1169228.0
AFG,3405,2020,4675785.0
AFG,3405,2024,1229486.0
AFG,3406,2020,47004.0
AFG,3406,2024,79020.0
AFG,3407,2020,39966.0
AFG,3407,2024,949900.0
AFG,3501,2020,29376.0
AFG,3501,2024,5003.0
AFG,3502,2020,15962.0
AFG,3503,2020,87216.0
AFG,3503,2024,208635.0
AFG,3504,2020,52554.0
AFG,3504,2024,354145.0
AFG,3505,2020,500534.0
AFG,3505,2024,84760.0
AFG,3506,2020,49223208.0
AFG,3506,2024,6110706.0
AFG,3507,2020,4316200.0
AFG,3507,2024,255417.0
AFG,3602,2020,0.0
AFG,3603,2020,0.0
AFG,3603,2024,24203.0
AFG,3604,2020,0.0
AFG,3604,2024,51459.0
AFG,3605,2020,14371290.0
AFG,3605,2024,12118452.0
AFG,3606,2020,33543.0
AFG,3701,2020,3150186.0
AFG,3701,2024,5208176.0
AFG,3702,2020,97949.0
AFG,3702,2024,0.0
AFG,3703,2020,122583.0
AFG,3703,2024,19322.0
AFG,3707,2020,915644.0
AFG,3707,2024,1260.0
AFG,3801,2020,25158.0
AFG,3801,2024,15490.0
AFG,3802,2020,94233.0
AFG,3802,2024,277515.0
AFG,3804,2024,0.0
AFG,3805,2020,5887.0
AFG,3806,2020,16895.0
AFG,3808,2020,327052008.0
AFG,3808,2024,50510152.0
AFG,3809,2020,252434.0
AFG,3809,2024,55964.0
AFG,3810,2020,200955.0
AFG,3810,2024,11684.0
AFG,3811,2020,13538259.0
AFG,3811,2024,35182.0
AFG,3812,2020,11149865.0
AFG,3812,2024,5962158.0
AFG,3813,2020,93104.0
AFG,3814,2020,17196895.0
AFG,3814,2024,1149342.0
AFG,3815,2020,1168812.0
AFG,3815,2024,130970.0
AFG,3816,2020,233685.0
AFG,3816,2024,0.0
AFG,3819,2020,1873512.0
AFG,3819,2024,693328.0
AFG,3820,2020,3922080.0
AFG,3820,2024,26999.0
AFG,3821,2020,2810675.0
AFG,3821,2024,794070.0
AFG,3822,2020,434693558.0
AFG,3822,2024,99469290.0
AFG,3823,2020,12835790.0
AFG,3823,2024,24780156.0
AFG,3901,2020,138599796.0
AFG,3901,2024,18051396.0
AFG,3902,2020,10701468.0
AFG,3902,2024,606831.0
AFG,3903,2020,3286468.0
AFG,3903,2024,822576.0
AFG,3904,2020,35894232.0
AFG,3904,2024,7541786.0
AFG,3905,2020,1466828.0
AFG,3905,2024,575265.0
AFG,3906,2020,9237915.0
AFG,3906,2024,2299098.0
AFG,3907,2020,75621964.0
AFG,3907,2024,53204781.0
AFG,3908,2020,169252.0
AFG,3908,2024,199798.0
AFG,3909,2020,15116924.0
AFG,3909,2024,19410596.0
AFG,3910,2020,346828.0
AFG,3910,2024,43977.0
AFG,3911,2020,211726.0
AFG,3911,2024,120177.0
AFG,3912,2020,491128.0
AFG,3912,2024,2506540.0
AFG,3913,2020,114856.0
AFG,3913,2024,740457.0
AFG,3914,2020,37148.0
AFG,3914,2024,72918.0
AFG,3915,2020,1308879.0
AFG,3915,2024,916734.0
AFG,3916,2020,24558745.0
AFG,3916,2024,1256038.0
AFG,3917,2020,58394126.0
AFG,3917,2024,2566689.0
AFG,3918,2020,15181208.0
AFG,3918,2024,1816816.0
AFG,3919,2020,34541185.0
